WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (114.3669444 -8.2186111)",821.0,15.0,Kabupaten Banyuwangi,1501.0,2.0,-8.2186111,114.3669444,1.0
"POINT (111.5274557 -7.6291141)",823.0,15.0,Kabupaten Madiun,1502.0,2.0,-7.627753,111.505483,1.0
"POINT (111.466003 -7.867827)",824.0,15.0,Kabupaten Ponorogo,1503.0,2.0,-7.867827,111.466003,1.0
"POINT (111.3255819 -7.6547855)",825.0,15.0,Kabupaten Magetan,1504.0,2.0,-7.6493413,111.3381593,1.0
"POINT (111.1051974 -8.1794423)",826.0,15.0,Kabupaten Pacitan,1505.0,2.0,-8.204614,111.08769,1.0
"POINT (111.4312884 -7.4053361)",827.0,15.0,Kabupaten Ngawi,1506.0,2.0,-7.38993,111.46193,1.0
"POINT (112.7495558 -7.0258356)",828.0,15.0,Kabupaten Bangkalan,1507.0,2.0,-7.0306912,112.7450068,1.0
"POINT (112.0157049 -7.8454145)",829.0,15.0,Kabupaten Kediri,1508.0,2.0,-7.809356,112.032356,1.0
"POINT (113.8209536 -7.9132271)",830.0,15.0,Kabupaten Bondowoso,1509.0,2.0,-7.917704,113.813483,1.0
"POINT (112.1609596 -8.0952522)",831.0,15.0,Kabupaten Blitar,1510.0,2.0,-8.1014419,112.162762,1.0
"POINT (111.7024214 -8.0708208)",832.0,15.0,Kabupaten Trenggalek,1511.0,2.0,-8.05,111.7166667,1.0
"POINT (111.9547375 -8.0862646)",833.0,15.0,Kabupaten Tulungagung,1512.0,2.0,-8.0666667,111.9,1.0
"POINT (111.901808 -7.602932)",834.0,15.0,Kabupaten Nganjuk,1513.0,2.0,-7.602932,111.901808,1.0
"POINT (114.0011906 -7.6993757)",835.0,15.0,Kabupaten Situbondo,1514.0,2.0,-7.702534,113.955605,1.0
"POINT (112.6307531 -7.9657255)",836.0,15.0,Kabupaten Malang,1515.0,2.0,-8.0495643,112.6884549,1.0
"POINT (113.700302 -8.172357)",837.0,15.0,Kabupaten Jember,1516.0,2.0,-8.172357,113.700302,1.0
"POINT (113.8564613 -7.0068662)",838.0,15.0,Kabupaten Sumenep,1517.0,2.0,-6.9253999,113.9060624,1.0
"POINT (112.8584783 -7.6288241)",839.0,15.0,Kabupaten Pasuruan,1518.0,2.0,-6.8623098,108.8001936,1.0
"POINT (113.4666667 -7.1666667)",840.0,15.0,Kabupaten Pamekasan,1519.0,2.0,-7.1666667,113.4666667,1.0
"POINT (113.1996888 -7.7764168)",841.0,15.0,Kabupaten Probolinggo,1520.0,2.0,-7.7764168,113.1996888,1.0
"POINT (113.2252278 -8.131584)",842.0,15.0,Kabupaten Lumajang,1521.0,2.0,-8.131584,113.2252278,1.0
"POINT (111.866277 -7.1471137)",843.0,15.0,Kabupaten Bojonegoro,1522.0,2.0,0.882681,124.4669566,1.0
"POINT (112.0376545 -6.8936561)",844.0,15.0,Kabupaten Tuban,1523.0,2.0,-8.7493146,115.1711298,1.0
"POINT (112.4015766 -7.1165403)",845.0,15.0,Kabupaten Lamongan,1524.0,2.0,-7.406153,109.3946794,1.0
"POINT (112.7173389 -7.4530278)",846.0,15.0,Kabupaten Sidoarjo,1525.0,2.0,-7.4530278,112.7173389,1.0
"POINT (113.2438017 -7.1901566)",847.0,15.0,Kabupaten Sampang,1526.0,2.0,-7.5782556,109.2058436,1.0
"POINT (112.4404669 -7.4701797)",848.0,15.0,Kabupaten Mojokerto,1527.0,2.0,-7.4701797,112.4404669,1.0
"POINT (112.6486335 -7.1631223)",849.0,15.0,Kabupaten Gresik,1528.0,2.0,-7.15665,112.6555,1.0
"POINT (112.2225617 -7.5733164)",850.0,15.0,Kabupaten Jombang,1529.0,2.0,-7.5468395,112.2264794,1.0
"POINT (112.4298346 -7.4647331)",851.0,15.0,Kota Mojokerto,1530.0,2.0,-7.4647331,112.4298346,1.0
"POINT (112.7481315 -7.2537446)",852.0,15.0,Kota Surabaya,1531.0,2.0,-7.2537446,112.7481315,1.0
"POINT (111.513702 -7.629714)",853.0,15.0,Kota Madiun,1532.0,2.0,-7.629714,111.513702,1.0
"POINT (112.1539482 -8.0925222)",854.0,15.0,Kota Blitar,1533.0,2.0,-8.1,112.15,1.0
"POINT (112.6278763 -7.977474)",855.0,15.0,Kota Malang,1534.0,2.0,-7.977474,112.6278763,1.0
"POINT (112.5324831 -7.8820638)",856.0,15.0,Kota Batu,1535.0,2.0,-7.8820638,112.5324831,1.0
"POINT (112.9000354 -7.6458928)",857.0,15.0,Kota Pasuruan,1536.0,2.0,-7.6458928,112.9000354,1.0
"POINT (112.0115697 -7.8284594)",858.0,15.0,Kota Kediri,1537.0,2.0,-7.8284594,112.0115697,1.0
"POINT (113.2108153 -7.7650924)",859.0,15.0,Kota Probolinggo,1538.0,2.0,-7.7650924,113.2108153,1.0
